price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated
735000.0,4.0,2.5,2820,6180,2.0,0,0,3,2050,770,2013,1923
620000.0,3.0,1.0,1710,4050,1.5,0,0,3,1710,0,1909,2004
295000.0,5.0,3.5,2100,5107,2.0,0,0,3,1410,690,1999,0
437000.0,2.0,1.75,1440,4225,1.0,0,0,3,1440,0,2005,0
655000.0,4.0,2.25,2060,8470,1.0,0,0,3,1440,620,1983,2009
309620.0,3.0,2.5,1860,3730,2.0,0,0,3,1860,0,2012,1912
345000.0,2.0,1.5,1800,26615,1.0,0,0,5,1240,560,1987,0
417000.0,2.0,1.0,920,6600,1.0,0,0,3,920,0,1919,2003
755000.0,4.0,2.5,2660,10452,2.0,0,0,3,2660,0,1993,0
970000.0,4.0,3.25,2790,5420,1.0,0,3,3,1130,1660,1963,2013
1120000.0,5.0,2.75,4400,18500,1.0,0,3,5,2250,2150,1963,0
0.0,4.0,2.25,2170,10500,1.0,0,2,4,1270,900,1960,2001
160797.0,3.0,1.5,1270,2356,2.0,0,0,3,1270,0,2012,1912
619000.0,4.0,1.75,1660,3800,1.5,0,0,3,1660,0,1926,2003
785000.0,3.0,2.0,2180,5440,1.0,0,0,5,1100,1080,1904,0
415000.0,4.0,2.5,2170,8518,1.0,0,3,3,1350,820,1955,2005
485000.0,2.0,2.5,1430,923,3.0,0,0,3,1410,20,2008,0
375000.0,4.0,2.5,2040,109336,1.5,0,0,4,2040,0,1973,0
300000.0,3.0,2.0,1510,7066,1.0,0,2,3,1230,280,1973,2013
349000.0,3.0,1.0,1010,8184,1.0,0,0,4,1010,0,1947,1988
531000.0,3.0,2.5,2120,9736,2.0,0,0,3,2120,0,1988,2000
850000.0,5.0,3.5,3450,28324,1.0,0,0,5,2350,1100,1972,0
675000.0,4.0,2.5,2560,36601,2.0,0,0,4,2560,0,1987,0
404950.0,4.0,2.25,2340,217014,1.0,0,0,4,2340,0,1982,2011
665000.0,3.0,2.5,2190,10370,2.0,0,0,3,2190,0,1987,2000
646000.0,4.0,2.5,2310,4079,2.0,0,0,3,2310,0,2008,0
477000.0,3.0,1.75,1780,8085,1.0,0,0,3,1210,570,1976,0
298450.0,5.0,3.0,2100,9752,1.0,0,0,3,1200,900,2007,0
540000.0,3.0,2.75,2750,18029,1.0,0,2,5,1810,940,1978,0
387000.0,3.0,1.0,1230,9568,1.0,0,0,5,1230,0,1962,0
505000.0,3.0,1.75,1640,10695,1.0,0,2,3,1640,0,1975,0
194000.0,3.0,1.0,1050,7577,1.0,0,0,3,1050,0,1983,2009
825500.0,3.0,2.5,2780,11964,2.0,0,0,3,2780,0,2009,0
2475000.0,3.0,3.25,4340,4947,2.0,0,3,3,3060,1280,1993,0
320000.0,3.0,2.0,1550,34175,1.5,0,0,3,1550,0,1999,0
148612.5,3.0,1.0,1040,5000,1.0,0,0,3,1040,0,1959,1989
485000.0,4.0,1.75,1430,4096,2.0,0,0,3,1430,0,1900,2005
670000.0,3.0,2.5,1680,2000,3.0,0,0,3,1680,0,1909,1998
167500.0,1.0,1.0,690,1950,1.0,0,0,3,690,0,1928,1954
677099.565217,4.0,2.5,2150,27540,2.0,0,0,3,2150,0,1997,0
425000.0,3.0,1.5,1400,1022,3.0,0,0,3,1400,0,2007,0
660000.0,3.0,1.0,1210,9622,1.0,0,1,3,1210,0,1955,2009
435000.0,3.0,1.0,1270,4000,1.5,0,2,3,1270,0,1928,1954
500000.0,3.0,1.5,1190,4750,1.0,0,0,3,970,220,1940,1996
310000.0,4.0,2.0,1870,6000,1.5,0,0,3,1870,0,1956,2001
385000.0,2.0,1.0,830,26329,1.0,1,3,4,830,0,1928,0
575000.0,3.0,1.75,1580,11750,1.0,0,0,4,1180,400,1951,1999
494000.0,4.0,2.5,1830,7345,1.0,0,0,4,1540,290,1973,0
440000.0,2.0,1.0,800,4850,1.0,0,0,4,800,0,1944,0
600000.0,2.0,2.5,2510,14878,2.0,0,0,3,2510,0,1990,2009
937000.0,3.0,1.75,2450,2691,2.0,0,0,3,1750,700,1915,0
650000.0,4.0,2.0,1820,5000,1.5,0,1,3,1640,180,1945,2010
600000.0,5.0,2.25,2980,7781,1.0,0,0,3,1580,1400,1960,2012
850830.0,3.0,2.5,2070,13241,1.5,0,0,5,1270,800,1910,0
425000.0,3.0,1.5,1300,19163,1.0,0,0,3,1300,0,1964,2000
255000.0,2.0,1.0,1320,9967,1.0,0,0,3,940,380,1919,2001
602500.0,4.0,2.5,2760,6850,2.0,0,0,3,2760,0,1999,0
230000.0,2.0,1.0,1080,9435,1.0,0,0,3,1080,0,1958,2004
274900.0,4.0,2.5,1970,6600,2.0,0,0,3,1970,0,1987,2000
435000.0,5.0,2.0,1840,9240,1.0,0,0,4,1540,300,1942,1958
420000.0,3.0,2.5,2140,3821,2.0,0,0,3,2140,0,2005,0
284000.0,4.0,2.5,2000,5390,2.0,0,0,3,2000,0,2003,0
940000.0,4.0,2.25,1890,5940,1.0,0,1,3,1470,420,1963,2008
450000.0,3.0,1.75,1640,13500,1.0,0,0,3,1110,530,1940,1996
310000.0,3.0,1.75,2070,37904,1.0,0,0,4,1420,650,1973,0
330000.0,2.0,1.0,860,8308,1.0,0,0,4,860,0,1948,0
255000.0,4.0,2.5,2070,7800,2.0,0,0,3,2070,0,1989,0
881000.0,5.0,3.0,2510,4125,1.5,0,3,5,1590,920,1925,0
979000.0,3.0,2.5,2690,4047,3.0,0,0,3,2690,0,2014,0
1300000.0,4.0,3.25,2330,9687,2.0,0,3,3,2330,0,1918,0
288000.0,3.0,2.5,1520,3593,2.0,0,0,3,1520,0,2004,2003
700000.0,4.0,3.0,3150,7778,2.0,0,0,3,3150,0,2000,0
874150.0,4.0,3.5,3530,14406,2.0,0,1,3,2570,960,1987,2000
630000.0,4.0,2.5,2807,9430,2.0,0,0,3,2807,0,1996,0
760000.0,4.0,2.25,3300,8365,3.0,0,0,3,3300,0,2014,0
404000.0,4.0,1.75,1840,10720,1.0,0,0,3,960,880,1958,2004
415000.0,3.0,1.75,1070,8000,1.0,0,0,3,1070,0,1977,2004
1901000.0,3.0,2.5,2660,13367,2.0,0,2,3,2660,0,1992,0
1175000.0,3.0,2.5,1970,23180,1.0,1,4,3,1100,870,1937,1998
870000.0,4.0,2.75,2840,4000,1.5,0,0,5,1960,880,1912,0
900000.0,5.0,3.75,4130,226076,2.0,0,0,3,3170,960,1985,0
149000.0,3.0,1.0,1700,8645,1.0,0,0,3,1700,0,1955,2005
1738000.0,4.0,2.25,2920,6513,2.0,0,0,4,2260,660,1937,0
620000.0,5.0,2.5,2540,3832,2.0,0,0,5,1760,780,1929,0
300000.0,2.0,1.0,1340,7788,1.0,0,2,3,1340,0,1947,2012
299950.0,4.0,1.75,1560,31299,1.0,0,0,4,1560,0,1965,0
915000.0,3.0,4.5,3850,62726,2.0,0,0,3,3120,730,2013,1923
248000.0,4.0,3.0,2163,5883,2.0,0,0,3,2163,0,2006,0
831000.0,4.0,3.0,2170,4000,2.0,0,0,4,1610,560,1982,2011
251000.0,3.0,1.75,1220,7250,1.0,0,0,3,1220,0,1962,2003
597326.0,4.0,4.0,3570,8250,2.0,0,0,3,2860,710,2013,1923
325000.0,3.0,2.5,2070,8337,2.0,0,0,3,2070,0,1997,0
395000.0,4.0,1.0,1980,10350,1.0,0,0,4,1430,550,1968,0
568500.0,4.0,2.5,2460,4200,2.0,0,0,3,2460,0,1998,2006
376000.0,3.0,2.0,1340,1384,3.0,0,0,3,1340,0,2008,0
435000.0,4.0,3.0,4260,18000,2.0,0,2,3,4260,0,2000,0
955000.0,5.0,2.25,2510,9887,2.0,0,0,3,2510,0,1972,2002
739000.0,3.0,2.5,2810,5400,2.0,0,0,3,2810,0,2005,0
366000.0,3.0,1.75,1510,8301,1.0,0,0,3,1510,0,1967,2011
1000000.0,2.0,1.75,2430,23400,1.0,0,4,3,2430,0,1951,1994
745000.0,3.0,1.75,1490,9800,1.0,0,0,4,1140,350,1947,1988
439950.0,4.0,2.5,2380,12067,2.0,0,0,3,2380,0,2002,0
1315000.0,4.0,3.5,3460,3997,2.0,0,0,3,2560,900,2004,2003
529000.0,3.0,1.0,1210,3328,1.5,0,0,4,1210,0,1924,0
402101.0,2.0,0.75,1020,1350,2.0,0,0,3,1020,0,2009,0
381000.0,3.0,1.5,1460,11407,1.0,0,0,3,1460,0,1954,2005
682000.0,3.0,1.75,1830,5120,1.5,0,2,5,1830,0,1903,0
300000.0,2.0,1.0,1010,11919,1.0,0,0,3,1010,0,1947,2012
3000000.0,4.0,4.25,4850,12445,2.0,1,4,5,3850,1000,1989,0
675000.0,3.0,2.5,2540,7680,2.0,0,1,4,2540,0,1940,2001
427500.0,4.0,2.5,2460,5091,2.0,0,0,3,2460,0,2003,0
471000.0,4.0,2.5,3030,9687,2.0,0,0,3,2020,1010,1998,2006
470000.0,4.0,2.25,2380,17199,2.0,0,0,3,1530,850,1979,2014
383962.0,4.0,2.5,2700,6998,2.0,0,0,3,2700,0,2001,0
249950.0,2.0,1.0,940,8532,1.0,0,0,4,940,0,1959,0
885000.0,4.0,2.5,2830,5000,2.0,0,0,3,2830,0,1995,0
233000.0,3.0,1.0,1250,6180,1.5,0,0,3,1250,0,1955,2005
560000.0,3.0,2.5,2070,12708,2.0,0,0,3,2070,0,1996,0
458400.0,4.0,2.5,1910,10300,1.0,0,0,3,1910,0,1921,1968
900000.0,4.0,3.25,4700,38412,2.0,0,0,3,3420,1280,1978,0
441000.0,2.0,1.5,1190,3400,1.0,0,0,3,990,200,1919,2001
397990.0,3.0,1.0,1180,11862,1.0,0,0,4,1180,0,1948,0
575000.0,3.0,2.25,1700,3333,1.5,0,0,3,1100,600,1924,2011
544000.0,4.0,2.5,2030,3974,2.0,0,0,3,2030,0,1994,0
